Node_ID,Primary_Street,Secondary_Street,Morphological_Clutter,Altitude_m,Latitude,Longitude,Serving_GW_ID,RSSI_dBm,Status
176,Avenida Atahualpa,Avenida Río Amazonas,Residential,2780,-0.181589,-78.4866579,5,-57.81,CONNECTED
177,Avenida Atahualpa,Avenida Río Amazonas,Residential,2781,-0.1816044,-78.486534,5,-60.26,CONNECTED
178,Avenida Atahualpa,Avenida Río Amazonas,Residential,2781,-0.1814661,-78.4865135,5,-61.43,CONNECTED
179,Avenida Atahualpa,Avenida Río Amazonas,Residential,2781,-0.1814506,-78.4866335,5,-59.46,CONNECTED
180,Avenida Atahualpa,Juan Gonzalez,Residential,2789,-0.1817607,-78.487216,5,0.32,CONNECTED
181,Avenida Atahualpa,Nuñez de Vela,Residential,2793,-0.1821962,-78.4877629,5,-60.2,CONNECTED
182,Avenida Diego de Almagro,Avenida Francisco de Orellana,Residential,2784,-0.1981402,-78.4866757,9,-84.85,CONNECTED
183,Avenida Diego de Almagro,Avenida Francisco de Orellana,Residential,2784,-0.1980716,-78.4864874,9,-84.17,CONNECTED
184,Avenida Diego de Almagro,Avenida Francisco de Orellana,Residential,2786,-0.1980336,-78.4866237,9,-84.61,CONNECTED
185,Avenida Diego de Almagro,Avenida de la República,Dense Urban,2776,-0.1956686,-78.4842158,1,-121.48,CONNECTED
186,Avenida Diego de Almagro,Avenida de la República,Dense Urban,2776,-0.1955462,-78.4841272,1,-120.98,CONNECTED
187,Avenida Diego de Almagro,Avenida de la República,Dense Urban,2777,-0.1957612,-78.4841736,1,-121.74,CONNECTED
188,Avenida Diego de Almagro,Avenida de la República,Dense Urban,2777,-0.1956402,-78.484086,1,-121.26,CONNECTED
189,Avenida Diego de Almagro,Belo Horizonte,Dense Urban,2780,-0.1969462,-78.4850205,9,-109.95,CONNECTED
190,Avenida Diego de Almagro,Bulgaria,Dense Urban,2778,-0.1929785,-78.4827732,1,-106.55,CONNECTED
191,Avenida Diego de Almagro,Francisco Andrade Marin,Residential,2773,-0.1921869,-78.4823263,1,-68.6,CONNECTED
192,Avenida Diego de Almagro,Francisco Andrade Marin,Residential,2773,-0.1921502,-78.4824282,1,-67.79,CONNECTED
193,Avenida Diego de Almagro,Hernan Cortez,Park/Periphery,2783,-0.199362,-78.4872058,9,-107.8,CONNECTED
194,Avenida Diego de Almagro,Juan Severino,Residential,2778,-0.19133,-78.4820811,1,-62.61,CONNECTED
195,Avenida Diego de Almagro,La Niña,Residential,2777,-0.1990418,-78.4870669,1,-95.79,CONNECTED
196,Avenida Diego de Almagro,La Pinta,Park/Periphery,2787,-0.1998299,-78.4874068,9,-108.93,CONNECTED
197,Avenida Diego de Almagro,La Pradera,Dense Urban,2782,-0.1963018,-78.4846977,9,-109.1,CONNECTED
198,Avenida Diego de Almagro,La Pradera,Dense Urban,2784,-0.1963302,-78.484589,9,-108.28,CONNECTED
199,Avenida Diego de Almagro,Mariano Aguilera,Dense Urban,2782,-0.196173,-78.4845979,9,-108.89,CONNECTED
200,Avenida Diego de Almagro,Pedro Ponce Carrasco,Residential,2774,-0.1919465,-78.4822294,1,-66.7,CONNECTED
201,Avenida Diego de Almagro,Pedro Ponce Carrasco,Residential,2775,-0.1919092,-78.482322,1,-65.65,CONNECTED
202,Avenida Diego de Almagro,Santa María,Park/Periphery,2791,-0.2006032,-78.4877443,9,-110.74,CONNECTED
203,Avenida Diego de Almagro,Vía Interoceánica,Residential,2776,-0.191324,-78.4815213,1,-69.48,CONNECTED
204,Avenida Diego de Almagro,Whymper,Dense Urban,2789,-0.1937114,-78.4829683,1,-111.82,CONNECTED
205,Avenida Diego de Almagro,Whymper,Dense Urban,2791,-0.1936515,-78.4830594,1,-111.49,CONNECTED
